latitude,longitude,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,days_since_last_review,room_type_Private room,room_type_Shared room,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,neighbourhood_grouped_Bedford-Stuyvesant,neighbourhood_grouped_Bushwick,neighbourhood_grouped_Chelsea,neighbourhood_grouped_Clinton Hill,neighbourhood_grouped_Crown Heights,neighbourhood_grouped_East Harlem,neighbourhood_grouped_East Village,neighbourhood_grouped_Financial District,neighbourhood_grouped_Flatbush,neighbourhood_grouped_Greenpoint,neighbourhood_grouped_Harlem,neighbourhood_grouped_Hell's Kitchen,neighbourhood_grouped_Lower East Side,neighbourhood_grouped_Midtown,neighbourhood_grouped_Other,neighbourhood_grouped_Upper East Side,neighbourhood_grouped_Upper West Side,neighbourhood_grouped_Washington Heights,neighbourhood_grouped_West Village,neighbourhood_grouped_Williamsburg,log_price,name_bigram_private_room,name_bigram_central_park,name_bigram_east_village,name_bigram_private_bedroom,name_bigram_bedroom_apartment,name_bigram_cozy_room,name_bigram_upper_east,name_bigram_times_square,name_bigram_west_village,name_bigram_new_york,name_bigram_bedroom_apt,name_bigram_park_slope,name_bigram_upper_west,name_bigram_cozy_bedroom,name_bigram_spacious_bedroom
40.67989,-73.97798,80,1,39,6,364,188.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.394449154672439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.68001,-73.97865,110,2,71,6,304,6.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.709530201312334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.68371,-73.94028,120,2,88,2,233,19.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.795790545596741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.65599,-73.97519,60,1,19,2,85,15.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.110873864173311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.86754,-73.92639,80,4,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.394449154672439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.76715,-73.98533,150,10,58,1,75,694.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.017279836814924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.86482,-73.92106,44,3,108,3,311,23.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.8066624897703196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.7292,-73.98542,180,14,29,1,67,80.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.198497031265826,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40.82245,-73.95104,50,3,242,3,355,37.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.9318256327243257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.81305,-73.95466,52,2,88,1,255,24.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.970291913552122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
